Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - pancreas,0,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - pancreas,0,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - pancreas,0,2016
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - pancreas,0,2016
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - pancreas,0,2016
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - pancreas,0,2016
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - pancreas,0,2016
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - pancreas,0,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - pancreas,0,2016
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - pancreas,0,2016
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - pancreas,0,2016
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - pancreas,0,2016
PA - Is.Me.T.T.,PA,Rene,Rene - pancreas,2,2016
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - pancreas,0,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - pancreas,3,2016
"TO - AOU Città della Salute, PO OIRM",TO,Fegato,Fegato,0,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato,131,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato,76,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato,106,2016
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato,34,2016
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato,49,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato,88,2016
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato,52,2016
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato,23,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato,106,2016
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato,32,2016
PI - A.O.U. PISANA,PI,Fegato,Fegato,136,2016
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato,35,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato,34,2016
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato,37,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato,22,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato,25,2016
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato,6,2016
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato,26,2016
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato,10,2016
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato,42,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato,20,2016
PA - Is.Me.T.T.,PA,Fegato,Fegato,65,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato,40,2016
"TO - AOU Città della Salute, PO OIRM",TO,Fegato,Fegato - pancreas - intestino,0,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato - pancreas - intestino,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato - pancreas - intestino,0,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2016
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2016
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato - pancreas - intestino,0,2016
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato - pancreas - intestino,0,2016
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato - pancreas - intestino,0,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato - pancreas - intestino,1,2016
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato - pancreas - intestino,0,2016
PI - A.O.U. PISANA,PI,Fegato,Fegato - pancreas - intestino,0,2016
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato - pancreas - intestino,0,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato - pancreas - intestino,0,2016
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato - pancreas - intestino,0,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato - pancreas - intestino,0,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato - pancreas - intestino,0,2016
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato - pancreas - intestino,0,2016
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato - pancreas - intestino,0,2016
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato - pancreas - intestino,0,2016
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato - pancreas - intestino,0,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato - pancreas - intestino,0,2016
PA - Is.Me.T.T.,PA,Fegato,Fegato - pancreas - intestino,0,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato - pancreas - intestino,0,2016
"TO - AOU Città della Salute, PO OIRM",TO,Fegato,Rene - fegato,1,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Rene - fegato,4,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Rene - fegato,0,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Rene - fegato,3,2016
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Rene - fegato,0,2016
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Rene - fegato,1,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Rene - fegato,0,2016
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Rene - fegato,2,2016
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Rene - fegato,2,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Rene - fegato,1,2016
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Rene - fegato,0,2016
PI - A.O.U. PISANA,PI,Fegato,Rene - fegato,0,2016
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Rene - fegato,0,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Rene - fegato,0,2016
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Rene - fegato,2,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Rene - fegato,1,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Rene - fegato,0,2016
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Rene - fegato,0,2016
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Rene - fegato,0,2016
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Rene - fegato,0,2016
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Rene - fegato,0,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Rene - fegato,0,2016
PA - Is.Me.T.T.,PA,Fegato,Rene - fegato,1,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Rene - fegato,0,2016
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Cuore,3,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Cuore,19,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Cuore,14,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Cuore,30,2016
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Cuore,14,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Cuore,39,2016
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Cuore,14,2016
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Cuore,24,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Cuore,28,2016
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Cuore,10,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Cuore,15,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Cuore,13,2016
NA - A. O. MONALDI,NA,Cuore,Cuore,20,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Cuore,2,2016
PA - Is.Me.T.T.,PA,Cuore,Cuore,13,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Cuore,5,2016
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Rene - cuore,1,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Rene - cuore,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Rene - cuore,0,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Rene - cuore,0,2016
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Rene - cuore,0,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Rene - cuore,0,2016
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Rene - cuore,0,2016
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Rene - cuore,1,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Rene - cuore,0,2016
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Rene - cuore,0,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Rene - cuore,1,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Rene - cuore,1,2016
NA - A. O. MONALDI,NA,Cuore,Rene - cuore,0,2016
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Rene - cuore,0,2016
PA - Is.Me.T.T.,PA,Cuore,Rene - cuore,0,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Rene - cuore,0,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone,5,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone,1,2016
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone,2,2016
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone,3,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone,2,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone,0,2016
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone,3,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Polmone,0,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone,2,2016
PA - Is.Me.T.T.,PA,Polmone,Polmone,1,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone doppio,20,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone doppio,10,2016
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone doppio,23,2016
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone doppio,8,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone doppio,25,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone doppio,6,2016
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone doppio,11,2016
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Polmone doppio,4,2016
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone doppio,10,2016
PA - Is.Me.T.T.,PA,Polmone,Polmone doppio,11,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Pancreas,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Pancreas,0,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Pancreas,0,2016
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Pancreas,7,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Pancreas,0,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Pancreas,Pancreas,0,2016
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Pancreas,0,2016
PI - A.O.U. PISANA,PI,Pancreas,Pancreas,2,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Pancreas,0,2016
PA - Is.Me.T.T.,PA,Pancreas,Pancreas,0,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Pancreas,1,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Rene - pancreas,2,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Rene - pancreas,1,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Rene - pancreas,4,2016
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Rene - pancreas,10,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Rene - pancreas,15,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Pancreas,Rene - pancreas,0,2016
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Rene - pancreas,2,2016
PI - A.O.U. PISANA,PI,Pancreas,Rene - pancreas,10,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Rene - pancreas,7,2016
PA - Is.Me.T.T.,PA,Pancreas,Rene - pancreas,2,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Rene - pancreas,3,2016
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Fegato - pancreas - intestino,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Fegato - pancreas - intestino,0,2016
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Fegato - pancreas - intestino,0,2016
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Fegato - pancreas - intestino,0,2016
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Fegato - pancreas - intestino,0,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Pancreas,Fegato - pancreas - intestino,1,2016
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Fegato - pancreas - intestino,0,2016
PI - A.O.U. PISANA,PI,Pancreas,Fegato - pancreas - intestino,0,2016
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Fegato - pancreas - intestino,0,2016
PA - Is.Me.T.T.,PA,Pancreas,Fegato - pancreas - intestino,0,2016
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Fegato - pancreas - intestino,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Intestino,Intestino,1,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Intestino,Intestino,0,2016
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Intestino,Fegato - pancreas - intestino,0,2016
BO - S.ORSOLA-MALPIGHI - BO,BO,Intestino,Fegato - pancreas - intestino,1,2016
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene,43,2017
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene,3,2017
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene,99,2017
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene,37,2017
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene,49,2017
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene,56,2017
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene,34,2017
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene,64,2017
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene,28,2017
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene,44,2017
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene,107,2017
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene,30,2017
VI - OSPEDALE DI VICENZA,VI,Rene,Rene,20,2017
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene,98,2017
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene,46,2017
UD - POLICLINICO UNIVERSITARIO,UD,Rene,Rene,1,2017
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene,89,2017
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene,58,2017
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene,19,2017
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene,53,2017
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene,54,2017
PI - A.O.U. PISANA,PI,Rene,Rene,18,2017
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene,64,2017
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene,13,2017
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene,40,2017
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene,27,2017
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene,57,2017
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene,20,2017
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene,11,2017
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene,56,2017
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene,54,2017
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene,50,2017
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene,37,2017
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene,32,2017
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene,39,2017
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene,10,2017
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene,7,2017
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene,26,2017
PA - Is.Me.T.T.,PA,Rene,Rene,63,2017
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene,59,2017
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene,25,2017
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio,6,2017
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio,0,2017
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio,13,2017
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio,7,2017
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio,2,2017
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio,7,2017
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio,13,2017
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio,1,2017
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio,0,2017
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio,2,2017
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio,18,2017
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio,5,2017
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio,2,2017
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio,13,2017
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio,0,2017
UD - POLICLINICO UNIVERSITARIO,UD,Rene,Rene doppio,0,2017
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio,5,2017
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio,23,2017
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio,5,2017
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio,1,2017
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio,0,2017
PI - A.O.U. PISANA,PI,Rene,Rene doppio,4,2017
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio,4,2017
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio,0,2017
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio,0,2017
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio,0,2017
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio,2,2017
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio,0,2017
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio,0,2017
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio,0,2017
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio,0,2017
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio,0,2017
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene doppio,1,2017
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio,0,2017
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene doppio,8,2017
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene doppio,1,2017
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene doppio,0,2017
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene doppio,0,2017
PA - Is.Me.T.T.,PA,Rene,Rene doppio,0,2017
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene doppio,0,2017
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene doppio,1,2017
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato,0,2017
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato,1,2017
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato,4,2017
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato,3,2017
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato,0,2017
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato,1,2017
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato,0,2017
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato,3,2017
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato,0,2017
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato,0,2017
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato,1,2017
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato,0,2017
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato,0,2017
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato,2,2017
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato,0,2017
UD - POLICLINICO UNIVERSITARIO,UD,Rene,Rene - fegato,0,2017
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato,0,2017
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato,0,2017
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato,1,2017
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato,0,2017
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato,0,2017
PI - A.O.U. PISANA,PI,Rene,Rene - fegato,0,2017
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato,0,2017
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato,0,2017
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato,0,2017
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato,0,2017
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato,0,2017
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato,2,2017
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato,0,2017
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato,0,2017
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato,0,2017
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato,0,2017
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - fegato,0,2017
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato,0,2017
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato,0,2017
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato,0,2017
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato,0,2017
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato,0,2017
PA - Is.Me.T.T.,PA,Rene,Rene - fegato,0,2017
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato,0,2017
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato,1,2017
